# candidate_names, preds, decision_scores, anomaly_scores, areas, lambda_1
NDWFS_J143238.5+354439 1.0 0.07862980696986455 -0.42137019303013545 649.0 31.048939019983703
NDWFS_J142836.6+340124 1.0 0.051254453579707926 -0.4487455464202921 935.0 37.498458385467856
NDWFS_J142736.7+354611 1.0 0.07692165262934691 -0.4230783473706531 990.0 59.228086613348054
NDWFS_J142442.6+353331 1.0 0.05777694831217628 -0.4422230516878237 1015.0 37.73576269852833
NDWFS_J143503.2+335821 1.0 0.0732359843148997 -0.4267640156851003 1470.0 70.28881540817258
NDWFS_J142949.8+351540 1.0 0.060211602158360134 -0.43978839784163987 975.0 35.12156064845021
NDWFS_J143318.6+350837 -1.0 -0.033124250190303295 -0.5331242501903033 3114.0 111.87898019528868
NDWFS_J143555.7+334949 1.0 0.02440628212537982 -0.4755937178746202 729.0 31.62545342413937
NDWFS_J143637.0+342621 1.0 0.07159595603301827 -0.42840404396698173 1888.0 36.18962340177211
NDWFS_J143048.5+353704 1.0 0.07356886489681241 -0.4264311351031876 713.0 31.26643469048003
NDWFS_J143133.7+335933 1.0 0.0517780058535483 -0.4482219941464517 2053.0 26.274501556431183
NDWFS_J143707.7+352109 1.0 0.05552834908563453 -0.44447165091436547 1527.0 37.66203241685295
NDWFS_J143253.6+352901 1.0 0.0595457861960203 -0.4404542138039797 842.0 60.805914099997494
NDWFS_J142922.6+340237 1.0 0.05195489392192715 -0.44804510607807285 985.0 62.92050408472869
NDWFS_J143723.9+333919 1.0 0.054901670481130205 -0.4450983295188698 3133.0 252.97398986828048
NDWFS_J143019.6+352728 1.0 0.029706001306497587 -0.4702939986935024 924.0 31.99805733630493
NDWFS_J142830.8+340249 -1.0 -0.012969533746388762 -0.5129695337463888 432.0 23.091603835466735
NDWFS_J142632.3+331220 -1.0 -0.06363514742024268 -0.5636351474202427 2311.0 93.37366764333558
NDWFS_J143602.1+341651 1.0 0.06173628120895952 -0.4382637187910405 1359.0 34.94542254312873
NDWFS_J143840.3+333116 1.0 0.07666917156986292 -0.4233308284301371 1051.0 40.78369893255655
NDWFS_J143715.8+342051 1.0 0.03737912785992553 -0.46262087214007447 1784.0 37.04221918841081
NDWFS_J143308.8+352529 1.0 0.0521177861207438 -0.4478822138792562 1217.0 38.12788164691136
NDWFS_J143309.0+351718 1.0 0.07879040789171604 -0.42120959210828396 566.0 22.9671747787988
NDWFS_J143108.8+333245 1.0 0.04786064348454527 -0.4521393565154547 1314.0 35.75475827078594
NDWFS_J143808.0+340737 1.0 0.07153222338705828 -0.4284677766129417 1685.0 74.59013673650657
NDWFS_J143214.7+322713 1.0 0.04522993041143647 -0.45477006958856353 1152.0 38.057416582634
NDWFS_J143020.7+334343 1.0 0.047646899924069064 -0.45235310007593094 1907.0 60.6353419486002
NDWFS_J142723.9+344509 1.0 0.07138528812386796 -0.42861471187613204 1624.0 41.04623297277462
NDWFS_J143713.8+342017 1.0 0.05682726759557294 -0.44317273240442706 736.0 29.569135922733665
NDWFS_J142733.8+344007 1.0 0.06105351468661502 -0.438946485313385 2393.0 136.55222847776366
NDWFS_J143844.2+342844 1.0 0.04052495351779012 -0.4594750464822099 1260.0 39.8079744931602
NDWFS_J143036.6+334439 1.0 0.053767596069419055 -0.44623240393058095 1099.0 59.74107259329602
NDWFS_J143147.9+332744 1.0 0.058830409764527025 -0.441169590235473 3423.0 45.802264729593176
NDWFS_J143637.3+333759 1.0 0.038483912548637866 -0.46151608745136213 1420.0 34.68415591664696
NDWFS_J143128.1+340333 1.0 0.042690374402591214 -0.4573096255974088 1775.0 78.51493135652684
NDWFS_J143336.6+333802 1.0 0.06378518504041486 -0.43621481495958514 1184.0 26.822584126945262
NDWFS_J142450.3+344523 1.0 0.05787807979226267 -0.44212192020773733 1036.0 49.08788163937852
NDWFS_J143159.9+323805 1.0 0.04166006982306958 -0.4583399301769304 1054.0 35.316474304750926
NDWFS_J142953.8+345649 1.0 0.07048753343410713 -0.42951246656589287 1107.0 29.521469660557756
NDWFS_J143728.6+353315 1.0 0.06077679863776453 -0.43922320136223547 1301.0 43.53223476812844
NDWFS_J143846.0+342814 1.0 0.03385480937914481 -0.4661451906208552 2128.0 59.94411466136216
NDWFS_J142941.1+333257 1.0 0.0785977740309794 -0.4214022259690206 826.0 37.18750785825257
NDWFS_J143817.1+344103 1.0 0.025670895965862917 -0.4743291040341371 537.0 24.898166013666245
NDWFS_J143509.6+325401 1.0 0.03498398540165121 -0.4650160145983488 1741.0 89.21149826483114
NDWFS_J143533.6+353511 1.0 0.04803639826137046 -0.45196360173862954 2179.0 67.9895358735827
NDWFS_J142940.4+351408 1.0 0.07027009242318005 -0.42972990757681995 599.0 29.312230978577603
NDWFS_J143450.1+334834 1.0 0.0745907871779774 -0.4254092128220226 1467.0 78.5476067264477
NDWFS_J143120.8+343621 1.0 0.049332814450086526 -0.4506671855499135 1113.0 42.093392543899824
NDWFS_J142639.9+325940 1.0 0.06630997642807529 -0.4336900235719247 1112.0 39.328769465112586
NDWFS_J143009.2+345618 1.0 0.03258924803518676 -0.46741075196481324 1261.0 84.55632467620595
NDWFS_J143315.4+351613 -1.0 -0.05571997760534342 -0.5557199776053434 4376.0 200.59133526954625
NDWFS_J143117.7+352550 1.0 0.06440593401159272 -0.4355940659884073 1019.0 33.321118783926515
