# x, y, labels, names, probas
-0.9081715 4.7483764 LAB NDWFS_J142505.4+331335 0.9731614589691162
0.5729517 4.9227824 LAB NDWFS_J142521.9+331440 0.9808201193809509
-3.3140185 7.113988 LAB NDWFS_J142448.9+331659 0.9800745248794556
0.63308424 3.3010879 LAB NDWFS_J142630.6+330230 0.9638524055480957
8.759467 -0.82711446 LAB NDWFS_J142717.4+330529 0.8383219242095947
-3.9164262 8.010501 LAB NDWFS_J142550.1+325953 0.9715020060539246
-1.5992714 10.997432 LAB NDWFS_J142549.4+330044 0.9683187007904053
7.4381614 1.8102776 LAB NDWFS_J142556.1+330147 0.9210731387138367
3.5736926 4.364443 LAB NDWFS_J142502.4+325456 0.9655824899673462
-0.47180095 13.656112 LAB NDWFS_J142437.6+325830 0.9819996356964111
1.0947704 5.1683187 LAB NDWFS_J142452.9+325940 0.968746542930603
-3.4657862 6.3066597 LAB NDWFS_J142528.0+330025 0.9583945274353027
3.4634278 10.884465 LAB NDWFS_J142438.2+330254 0.9780098795890808
3.2559154 1.3916268 LAB NDWFS_J142630.7+332901 0.8513292670249939
4.2135124 8.34501 LAB NDWFS_J142526.4+335113 0.9866456389427185
1.6412292 13.844639 LAB NDWFS_J142547.2+334454 0.9619491100311279
0.59013975 11.144912 LAB NDWFS_J142634.0+334954 0.9302663803100586
7.498179 8.274959 LAB NDWFS_J142554.7+332906 0.9633157849311829
7.706003 12.256521 LAB NDWFS_J142633.3+340441 0.7464739680290222
3.3693585 6.042737 LAB NDWFS_J142656.4+335444 0.9536232352256775
-1.2167943 4.1300645 LAB NDWFS_J142609.3+335724 0.972461998462677
2.036146 11.760295 LAB NDWFS_J142548.7+335854 0.9826481938362122
5.2840714 2.248812 LAB NDWFS_J142537.2+340156 0.9421107769012451
11.310977 -2.4151628 LAB NDWFS_J142610.2+340224 0.9386823177337646
2.5722 5.866897 LAB NDWFS_J142500.2+340154 0.9603830575942993
3.0737517 13.477889 LAB NDWFS_J142703.5+334442 0.9770551919937134
-0.33998385 -1.934038 LAB NDWFS_J142713.8+334807 0.6797552108764648
1.3459234 12.160863 LAB NDWFS_J142718.8+335005 0.9724096059799194
2.710156 4.5417743 LAB NDWFS_J142631.6+334429 0.9781802892684937
11.029841 -0.1413302 LAB NDWFS_J142629.8+334649 0.9266430735588074
3.296751 10.8398695 LAB NDWFS_J142539.8+334847 0.9783480763435364
12.216756 4.4477105 LAB NDWFS_J142507.1+334141 0.9646691679954529
2.6408575 7.696081 LAB NDWFS_J142513.1+334206 0.9680556654930115
4.520655 5.1788816 LAB NDWFS_J142500.3+334642 0.9693366289138794
3.3744657 5.5756 LAB NDWFS_J142506.9+334728 0.9818416833877563
14.018069 -4.4779673 LAB NDWFS_J142531.6+334812 0.8627368807792664
12.05218 -3.3926895 LAB NDWFS_J142527.6+334900 0.4912707805633545
3.3436542 7.820298 LAB NDWFS_J142512.4+335310 0.9464341998100281
6.276995 8.79626 LAB NDWFS_J142526.2+335025 0.9477006196975708
4.5076714 7.79352 LAB NDWFS_J142507.2+335017 0.9827715754508972
3.2706308 10.749895 LAB NDWFS_J142521.5+335206 0.9776856899261475
2.1316504 4.881799 LAB NDWFS_J142642.6+333415 0.965965211391449
4.434827 10.962126 LAB NDWFS_J142714.7+333807 0.9776851534843445
11.614181 -5.3301835 LAB NDWFS_J142712.2+333851 0.9139635562896729
2.0143163 10.317469 LAB NDWFS_J142553.3+333515 0.9740378856658936
6.292323 9.181638 LAB NDWFS_J142629.8+334008 0.9650319814682007
5.664957 5.816804 LAB NDWFS_J142609.1+334009 0.9530301094055176
9.579157 9.199846 LAB NDWFS_J142445.0+333907 0.972044050693512
6.608943 2.8885732 LAB NDWFS_J142533.9+340344 0.9386714100837708
0.61993134 -0.76280993 Confirmed_Ly$\alpha$ NDWFS_J142653.1+343856 0.7382007837295532
-4.1072717 10.72656 LAB NDWFS_J142714.6+343154 0.9719905853271484
-3.117169 6.4174943 LAB NDWFS_J142643.9+340937 0.967513918876648
-0.5524866 6.8982983 LAB NDWFS_J142620.0+340427 0.9814886450767517
2.171634 5.728864 LAB NDWFS_J142729.8+341124 0.9818857312202454
1.7698927 7.963546 LAB NDWFS_J142453.4+340437 0.980701744556427
-0.09799409 6.814899 LAB NDWFS_J142515.6+340526 0.9547634720802307
7.0259194 11.475579 LAB NDWFS_J142719.2+343906 0.9866900444030762
-2.7259905 4.0778847 LAB NDWFS_J142646.0+343003 0.9832863807678223
2.4787886 -1.7321146 LAB NDWFS_J142700.0+343138 0.7689773440361023
-2.663779 -0.6754321 LAB NDWFS_J142638.3+343345 0.7290204763412476
1.8925025 3.0527651 LAB NDWFS_J142719.2+343508 0.9684440493583679
-3.8933997 5.0716515 LAB NDWFS_J142546.5+343549 0.6436598300933838
-2.8199863 5.185437 LAB NDWFS_J142442.9+343203 0.9270349144935608
